Name,Title,Department
Arash Abizadeh,Full Professor,"Department of Philosophy, Department of Political Science"
Ehab Abouheif,Full Professor,Department of Biology
Michal Abrahamowicz,Full Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Division of Clinical Epidemiology, Research Institute - McGill University Health Centre (RI MUHC)"
Jan Adamowski,Full Professor | William Dawson Scholar,"Brace Centre for Water Resources Management, Department of Bioresource Engineering, Bieler School of Environment"
Annmarie Adams,"Full Professor, Stevenson Chair in the History and Philosophy of Science","Department of Social Studies of Medicine, School of Architecture"
Wendell Nii Laryea Adjetey,Assistant Professor,Department of History and Classical Studies
Perry Adler,Doctor,"Department of Family Medicine, Jewish General Hospital (Sir Mortimer B. Davis)"
Marc Afilalo,"Full Professor, Department Chair, Director of Jewish General Hospital Emergency Department","Department of Family Medicine, Jewish General Hospital (Sir Mortimer B. Davis), Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Sara Ahmed,Full Professor,"Department of Epidemiology, Biostatistics and Occupational Health, MNI - Department of Neurology and Neurosurgery, Research Institute - McGill University Health Centre (RI MUHC), School of Physical and Occupational Therapy"
Abdul M Ahmed,Thomas Workman Emeritus Professor,Department of Mechanical Engineering
Kushalappa Ajjamada,Full Professor,Department of Plant Science
Moulay Alaoui-Jamali,"Full Professor, Senior Scientist","Gerald Bronfman Department of Oncology, Department of Pharmacology and Therapeutics, Division of Experimental Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital, McGill Centre for Translational Research in Cancer (MCTRC)"
Inteaz Alli,Professor Emeritus,Faculty of Agricultural and Environmental Sciences
Paul J. Allison,Full Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Faculty of Dentistry"
Gabriel Altit,Assistant Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Pediatrics, Montreal Children's Hospital (MCH), Research Institute - McGill University Health Centre (RI MUHC)"
Francisco Alvarez-Cuadrado,Associate Professor,Department of Economics
Francesco Amodio,Associate Professor,Department of Economics
Dana Anaby,Associate Professor,School of Physical and Occupational Therapy
Anastassios Anastassiadis,"Associate Professor, Phrixos B. Papachristidis Chair in Modern Greek Studies",Department of History and Classical Studies
Anne Andermann,Associate Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Family Medicine, St. Mary's Hospital Centre"
Eva Andermann,Full Professor,"Department of Human Genetics, MNI - Department of Neurology and Neurosurgery"
Mark P. Andrews,Full Professor,"Department of Chemistry, McGill Institute for Advanced Materials (MIAM)"
Jack P. Antel,Full Professor,"Department of Microbiology and Immunology, Department of Physiology, MNI - Department of Neurology and Neurosurgery, Neuro Montreal"
John Antoniou,Full Professor,"Division of Orthopaedic Surgery, Division of Experimental Surgery, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Armen G. Aprikian,"Full Professor, Richard Tomlinson Chair for Urologic Research","Gerald Bronfman Department of Oncology, Division of Urology, Research Institute - McGill University Health Centre (RI MUHC)"
Parisa Ariya,Full Professor,"Department of Atmospheric and Oceanic Sciences, Department of Chemistry, Bieler School of Environment"
Antonia Arnaert,Associate Professor,Ingram School of Nursing
Masoud Asgharian,Full Professor,Department of Mathematics and Statistics
Kenneth S Atlas,,Faculty of Law
Karine Auclair,Full Professor,Department of Chemistry
Patrick Augustin,Associate Professor | Canada Research Chair in Macrofinance and Derivatives,Desautels Faculty of Management
Jordan Axt,Assistant Professor,Department of Psychology
Leonardo Baccini,Associate Professor,Department of Political Science
Carolyn Baglole,Associate Professor,"Department of Pathology, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC), Respiratory Division"
Don Baker,Full Professor,Department of Earth and Planetary Sciences (EPS)
Oana Balmau,Assistant Professor,School of Computer Science
Ananya Tina Banerjee,Assistant Professor,"Department of Epidemiology, Biostatistics and Occupational Health"
Dana Baran,Associate Professor,"Division of Experimental Medicine, Royal Victoria Hospital"
Philip A Barker,,"MNI - Department of Neurology and Neurosurgery, Montreal Neurological Institute (MNI)"
Alan Barkun,Full Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Surgery, Division of Clinical Epidemiology, Division of Gastroenterology, Research Institute - McGill University Health Centre (RI MUHC)"
Christopher Barrett,Full Professor,"Department of Chemistry, Bieler School of Environment"
Christopher Barrington-Leigh,Associate Professor ,"Department of Economics, Institute for Health and Social Policy, Bieler School of Environment"
Paul Barré,Associate Professor,"Department of Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Peter Bartello,Full Professor,"Department of Atmospheric and Oceanic Sciences, Department of Mathematics and Statistics"
Joan Bartlett,Associate Professor,School of Information Studies (SIS)
Jennifer Bartz,Associate Professor,Department of Psychology
Nicole Basta,Associate Professor ,"Department of Epidemiology, Biostatistics and Occupational Health"
Gerald Batist,"Full Professor | Director, McGill Centre for Translational Research in Cancer","Department of Medicine, Gerald Bronfman Department of Oncology, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital, McGill Centre for Translational Research in Cancer (MCTRC)"
Karin Bauer,Full Professor,Department of German Studies
Shari Baum,James McGill Professor,School of Communication Sciences and Disorders (SCSD)
Stéphane Bayen,Associate Professor,Department of Food Science and Agricultural Chemistry
Nicole Beauchemin,Full Professor,"Department of Biochemistry, Department of Medicine, Rosalind and Morris Goodman Cancer Centre (GCC)"
