Name,Department,Faculty
Viacheslav Adamchuk,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Jan Franklin Adamowski,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Luis Agellon,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Abdolhamid Akbarzadeh Shafaroudi,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Fernando Altamura,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Niladri Basu,"Centre for Indigenous Peoples’ Nutrition and Environment, Human Nutrition, School of, Natural Resource Sciences",Faculty of Agriculture and Environmental Sciences
Stephane Bayen,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Jacqueline Bede,Plant Science,Faculty of Agriculture and Environmental Sciences
Robin Beech,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Caroline Begg,"Farm Management and Technology, Plant Science",Faculty of Agriculture and Environmental Sciences
Elena Bennett,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Vilceu Bordignon,Animal Science,Faculty of Agriculture and Environmental Sciences
Anne-Sophie Brazeau,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Peter G. Brown,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Chris Buddle,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Sergio Burgos,Animal Science,Faculty of Agriculture and Environmental Sciences
Jeffrey Cardille,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Igor Cestari,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Jean-Benoit Charron,Plant Science,Faculty of Agriculture and Environmental Sciences
Alice Cherestes,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Stéphanie Chevalier,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Grant Clark,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Roger Cue,Animal Science,Faculty of Agriculture and Environmental Sciences
Benoit Côté,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Mehran Dastmalchi,Plant Science,Faculty of Agriculture and Environmental Sciences
Sylvie de Blois,"Bieler School of Environment, Plant Science",Faculty of Agriculture and Environmental Sciences
Treena Wasonti:io Delormier,"Centre for Indigenous Peoples’ Nutrition and Environment, Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Mary Doidge,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Brian Driscoll,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Raj Duggavathi,Animal Science,Faculty of Agriculture and Environmental Sciences
Paul-Guy Duhamel,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Marie-Josée Dumont,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Gary Dunphy,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Pierre Dutilleul,Plant Science,Faculty of Agriculture and Environmental Sciences
Kyle Elliott,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Peter Enright,Farm Management and Technology,Faculty of Agriculture and Environmental Sciences
Sébastien Faucher,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Anja Geitmann,"Dean, Faculty of Agricultural and Environmental Sciences, Plant Science",Faculty of Agriculture and Environmental Sciences
Saji George,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Elias Georges,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Jessica Gillung,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Benjamin Goldstein,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Valérie Gravel,Plant Science,Faculty of Agriculture and Environmental Sciences
Aurélie Harou,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Jessica Head,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Mary Hendrickson,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Gordon Hickey,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Valerio Hoyos-Villegas,Plant Science,Faculty of Agriculture and Environmental Sciences
Murray Humphries,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Ashraf Ismail,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Suha Jabaji,Plant Science,Faculty of Agriculture and Environmental Sciences
Armando Jardim,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Brittany Wenniserí:iostha Jock,"Centre for Indigenous Peoples’ Nutrition and Environment, Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Cynthia Kallenbach,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Salwa Karboune,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Sarah Kimmins,Animal Science,Faculty of Agriculture and Environmental Sciences
Kristine Koski,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Nicolas Kosoy,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Stan Kubow,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Ajjamada Kushalappa,Plant Science,Faculty of Agriculture and Environmental Sciences
Mathieu Leduc,Farm Management and Technology,Faculty of Agriculture and Environmental Sciences
Mark Lefsrud,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Qian (Vivian) Liu,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Thavy Long,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Fernando Lopes,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Xiaonan Lu,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Chandra Madramootoo,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Ryan J. Mailloux,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Grace Marquis,"Centre for Indigenous Peoples’ Nutrition and Environment, Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
George McCourt,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Melissa McKinney,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Hugo Melgar-Quiñonez,"Centre for Indigenous Peoples’ Nutrition and Environment, Global Food Security, Margaret A. Gilliam Institute for, Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Arif Mustafa,Animal Science,Faculty of Agriculture and Environmental Sciences
Michael Ngadi,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Daiva E. Nielsen,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Valérie Orsat,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Sandy Phillips,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Hughes Plourde,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Shiv Prasher,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Roger Prichard,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Zhiming Qi,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Vijaya Raghavan,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Hosahalli Ramaswamy,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Petra Rohrbach,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Jennifer Ronholm,"Animal Science, Food Science and Agricultural Chemistry",Faculty of Agriculture and Environmental Sciences
Maureen Rose,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Joane Routhier,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Denis Roy,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Reza Salavati,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Marilyn Scott,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Philippe Seguin,Plant Science,Faculty of Agriculture and Environmental Sciences
Benjamin Simpson,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Jaswinder Singh,Plant Science,Faculty of Agriculture and Environmental Sciences
Donald L. Smith,Plant Science,Faculty of Agriculture and Environmental Sciences
Ian Strachan,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Martina Strömvik,Plant Science,Faculty of Agriculture and Environmental Sciences
Shangpeng Sun,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Paul Thomassin,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Pascal Thériault,Farm Management and Technology,Faculty of Agriculture and Environmental Sciences
David Titley-Péloquin,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Elsa Vasseur,Animal Science,Faculty of Agriculture and Environmental Sciences
Kevin Wade,Animal Science,Faculty of Agriculture and Environmental Sciences
Yixiang Wang,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
David Wees,"Farm Management and Technology, Plant Science",Faculty of Agriculture and Environmental Sciences
Joann Whalen,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Lyle Whyte,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Linda Wykes,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Jianguo (Jeff) Xia,"Animal Science, Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Varoujan Yaylayan,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Alexander Yitbarek,Animal Science,Faculty of Agriculture and Environmental Sciences
Xin Zhao,Animal Science,Faculty of Agriculture and Environmental Sciences
