Name,Department,Faculty
Diana Allan,Department of Anthropology,Faculty of Arts
Alyssa Bader,Department of Anthropology,Faculty of Arts
Samuele Collu,Department of Anthropology,Faculty of Arts
Nicole Couture,Department of Anthropology,Faculty of Arts
John Galaty,Department of Anthropology,Faculty of Arts
Sandra Teresa Hyde,Department of Anthropology,Faculty of Arts
Peter Johansen,Department of Anthropology,Faculty of Arts
Hillary Kaell,Department of Anthropology,Faculty of Arts
Eduardo Kohn,Department of Anthropology,Faculty of Arts
Katherine Lemons,Department of Anthropology,Faculty of Arts
Setrag Manoukian,Department of Anthropology,Faculty of Arts
Ronald Niezen,Department of Anthropology,Faculty of Arts
Kristin Norget,Department of Anthropology,Faculty of Arts
Lisa Overholtzer,Department of Anthropology,Faculty of Arts
Leslie Sabiston,Department of Anthropology,Faculty of Arts
James Savelle,Department of Anthropology,Faculty of Arts
Colin Scott,Department of Anthropology,Faculty of Arts
Lisa Stevenson,Department of Anthropology,Faculty of Arts
Ismael Vaccaro,Department of Anthropology,Faculty of Arts
Gabriella Coleman,Department of Anthropology,Faculty of Arts
Laurence Kirmayer,Department of Anthropology,Faculty of Arts
Todd Meyers,Department of Anthropology,Faculty of Arts
Kathleen Rice,Department of Anthropology,Faculty of Arts
Sahar Sadjadi,Department of Anthropology,Faculty of Arts
Andre Costopoulos,Department of Anthropology,Faculty of Arts
Nadia Ferrara,Department of Anthropology,Faculty of Arts
Viviane Weitzner,Department of Anthropology,Faculty of Arts
Donald Attwood,Department of Anthropology,Faculty of Arts
Michael Bisson,Department of Anthropology,Faculty of Arts
Laurel Bossen,Department of Anthropology,Faculty of Arts
Ellen Corin,Department of Anthropology,Faculty of Arts
Fumiko Ikawa-Smith,Department of Anthropology,Faculty of Arts
CArmen Lambert,Department of Anthropology,Faculty of Arts
Margaret Lock,Department of Anthropology,Faculty of Arts
Toby Morantz,Department of Anthropology,Faculty of Arts
Jerome Rousseau,Department of Anthropology,Faculty of Arts
Philip Carl Salzman,Department of Anthropology,Faculty of Arts
Allan Young,Department of Anthropology,Faculty of Arts
