Name,Department,Faculty
Darin Barney,Department of Art History & Communication Studies,Faculty of Arts
Gloria Bell,Department of Art History & Communication Studies,Faculty of Arts
Bobby Benedicto,Department of Art History & Communication Studies,Faculty of Arts
Alex Blue V.,Department of Art History & Communication Studies,Faculty of Arts
Jenny Burman,Department of Art History & Communication Studies,Faculty of Arts
Gustavo Ferreira,Department of Art History & Communication Studies,Faculty of Arts
Chriscinda Henry,Department of Art History & Communication Studies,Faculty of Arts
Matthew C. Hunter,Department of Art History & Communication Studies,Faculty of Arts
Mark Lloyd,Department of Art History & Communication Studies,Faculty of Arts
Chanon Kenji Praepipatmongkol,Department of Art History & Communication Studies,Faculty of Arts
Carrie Rentschler,Department of Art History & Communication Studies,Faculty of Arts
Christine Ross,Department of Art History & Communication Studies,Faculty of Arts
Jonathan Sterne,Department of Art History & Communication Studies,Faculty of Arts
David Crowley,Department of Art History & Communication Studies,Faculty of Arts
John M. Fossey,Department of Art History & Communication Studies,Faculty of Arts
Thomas Lamarre,Department of Art History & Communication Studies,Faculty of Arts 
Marc Raboy,Department of Art History & Communication Studies,Faculty of Arts
Gertrude Robinson,Department of Art History & Communication Studies,Faculty of Arts
William Wees,Department of Art History & Communication Studies,Faculty of Arts



