Name,Department,Faculty
Jennie H Chang,Department of East Asian Studies,Faculty of Arts
Kimberly Chung,Department of East Asian Studies,Faculty of Arts
Xinyu Dong,Department of East Asian Studies,Faculty of Arts
Grace S Fong,Department of East Asian Studies,Faculty of Arts
Yuriko Furuhata,Department of East Asian Studies,Faculty of Arts
Gal Gvili,Department of East Asian Studies,Faculty of Arts
Jeehee Hong,Department of East Asian Studies,Faculty of Arts
Maria Hwang,Department of East Asian Studies,Faculty of Arts
Tomoko Ikeda,Department of East Asian Studies,Faculty of Arts
Myung Hee Kim,Department of East Asian Studies,Faculty of Arts
Rongdao Lai,Department of East Asian Studies,Faculty of Arts
Yasuko Senoo,Department of East Asian Studies,Faculty of Arts
Marianne Tarcov,Department of East Asian Studies,Faculty of Arts
Gavin Walker,Department of East Asian Studies,Faculty of Arts
Bill Wang,Department of East Asian Studies,Faculty of Arts
Robin Yates,Department of East Asian Studies,Faculty of Arts
