Name,Department,Faculty
Nicolas Ajzenman,Department of Economics,Faculty of Arts
Francisco Alvarez-Cuadrado,Department of Economics,Faculty of Arts
Francesco Amodio,Department of Economics,Faculty of Arts
Daniel Barczyk,Department of Economics,Faculty of Arts
Leonie Baumann,Department of Economics,Faculty of Arts
Hassan Benchekroun,Department of Economics,Faculty of Arts
Robert D. Cairns,Department of Economics,Faculty of Arts
Rui Castro,Department of Economics,Faculty of Arts
Saraswata Chaudhuri,Department of Economics,Faculty of Arts
Matthieu Chemin,Department of Economics,Faculty of Arts
Russell Davidson,Department of Economics,Faculty of Arts
Paul Dickinson,Department of Economics,Faculty of Arts
Jean-Marie Dufour,Department of Economics,Faculty of Arts
Rohan Dutta,Department of Economics,Faculty of Arts
Mayssun El-Attar,Department of Economics,Faculty of Arts
Jim Engle-Warnick,Department of Economics,Faculty of Arts
Larry Epstein,Department of Economics,Faculty of Arts
John W Galbraith,Department of Economics,Faculty of Arts
Nicolas Gendron-Carrier,Department of Economics,Faculty of Arts
Silvia Goncalves,Department of Economics,Faculty of Arts
Christopher Green,Department of Economics,Faculty of Arts
Franque Grimard,Department of Economics,Faculty of Arts
Fabian Lange,Department of Economics,Faculty of Arts
Laura Lasio,Department of Economics,Faculty of Arts
Sonia Laszlo,Department of Economics,Faculty of Arts
Tom Naylor,Department of Economics,Faculty of Arts
Markus Poschke,Department of Economics,Faculty of Arts
Francisco Ruge-Murcia,Department of Economics,Faculty of Arts
Fernando Saltiel,Department of Economics,Faculty of Arts
Erin Strumpf,Department of Economics,Faculty of Arts
Licun Xue,Department of Economics,Faculty of Arts
Ling Ling Zhang,Department of Economics,Faculty of Arts
Victoria Zinde-Walsh,Department of Economics,Faculty of Arts
