Name,Department,Faculty
Sandeep Banerjee,Department of English,Faculty of Arts
Kenneth Borris,Department of English,Faculty of Arts
Catherine Bradley,Department of English,Faculty of Arts
Sean Carney,Department of English,Faculty of Arts
Nathalie Cooke,Department of English,Faculty of Arts
Wes Folkerth,Department of English,Faculty of Arts
Peter Gibian,Department of English,Faculty of Arts
Yael Halevi-Wise,Department of English,Faculty of Arts
David Hensley,Department of English,Faculty of Arts
Allan Hepburn,Department of English,Faculty of Arts
Miranda Brun Hickman,Department of English,Faculty of Arts
Erin Hurley,Department of English,Faculty of Arts
Maggie Kilgour,Department of English,Faculty of Arts
Robert Lecker,Department of English,Faculty of Arts
Eli MacLaren,Department of English,Faculty of Arts
Alexander Manshel,Department of English,Faculty of Arts
Derek Nystorm,Department of English,Faculty of Arts
Ara Osterweil,Department of English,Faculty of Arts
Trevor Ponech,Department of English,Faculty of Arts
Monica Popescu,Department of English,Faculty of Arts
Fiona Ritchie,Department of English,Faculty of Arts
Peter Sabor,Department of English,Faculty of Arts
Ned Schantz,Department of English,Faculty of Arts
Myrna Wyatt Selkirk,Department of English,Faculty of Arts
Richard Jean So,Department of English,Faculty of Arts
Tabitha Sparks,Department of English,Faculty of Arts
Marianne Stenbaek,Department of English,Faculty of Arts
Alanna Thain,Department of English,Faculty of Arts
Michael Van Dussen,Department of English,Faculty of Arts
Paul Yachnin,Department of English,Faculty of Arts
Katherine Zien,Department of English,Faculty of Arts
