Name,Department,Faculty
Malek Abisaab,Department of History and Classical Studies,Faculty of Arts
Wendell Nii Laryea Adjetey,Department of History and Classical Studies,Faculty of Arts
Anastassios Anastassiadis,Department of History and Classical Studies,Faculty of Arts
Noelani Manuela Arista,Department of History and Classical Studies,Faculty of Arts
Subho Basu,Department of History and Classical Studies,Faculty of Arts
Travis Bruce,Department of History and Classical Studies,Faculty of Arts
Gwyn Campbell,Department of History and Classical Studies,Faculty of Arts
Brian Cowan,Department of History and Classical Studies,Faculty of Arts
Catherine Desbarats,Department of History and Classical Studies,Faculty of Arts
Nicholas Dew,Department of History and Classical Studies,Faculty of Arts
Edward Dunsworth,Department of History and Classical Studies,Faculty of Arts
Elizabeth Elbourne,Department of History and Classical Studies,Faculty of Arts
Michael Fronda,Department of History and Classical Studies,Faculty of Arts
William Gladhill,Department of History and Classical Studies,Faculty of Arts
Elsbeth Heaman,Department of History and Classical Studies,Faculty of Arts
Gershon Hundert,Department of History and Classical Studies,Faculty of Arts
Kristy Ironside,Department of History and Classical Studies,Faculty of Arts
Naomi Kaloudis,Department of History and Classical Studies,Faculty of Arts
Brahm Kleinman,Department of History and Classical Studies,Faculty of Arts
Lynn Kozak,Department of History and Classical Studies,Faculty of Arts
James Krapfl,Department of History and Classical Studies,Faculty of Arts
Brian Lewis,Department of History and Classical Studies,Faculty of Arts
Lorenz Lüthi,Department of History and Classical Studies,Faculty of Arts
Leonard Moore,Department of History and Classical Studies,Faculty of Arts
Suzanne Morton,Department of History and Classical Studies,Faculty of Arts
Don Nerbas,Department of History and Classical Studies,Faculty of Arts
Laila Parsons,Department of History and Classical Studies,Faculty of Arts
David Porter,Department of History and Classical Studies,Faculty of Arts
Rachel Sandwell,Department of History and Classical Studies,Faculty of Arts
Melissa N. Shaw,Department of History and Classical Studies,Faculty of Arts
Martin Sirois,Department of History and Classical Studies,Faculty of Arts
Daviken Studnicki-Gizbert,Department of History and Classical Studies,Faculty of Arts
Judith Szapor,Department of History and Classical Studies,Faculty of Arts
Jeremy Tai,Department of History and Classical Studies,Faculty of Arts
Andrea Tone,Department of History and Classical Studies,Faculty of Arts
Darian Totten,Department of History and Classical Studies,Faculty of Arts
Griet Vakeerberghen,Department of History and Classical Studies,Faculty of Arts
Gavin Walker,Department of History and Classical Studies,Faculty of Arts
Heidi Wendt,Department of History and Classical Studies,Faculty of Arts
David Wright,Department of History and Classical Studies,Faculty of Arts
Robin D.S Yates,Department of History and Classical Studies,Faculty of Arts
John Zucchi,Department of History and Classical Studies,Faculty of Arts
