Name,Department,Faculty
David Aberbach,Department of Jewish Studies,Faculty of Arts
Garry Beitel,Department of Jewish Studies,Faculty of Arts 
Eric Caplan,Department of Jewish Studies,Faculty of Arts
Brigitte Dajczer,Department of Jewish Studies,Faculty of Arts 
Lea Fima,Department of Jewish Studies,Faculty of Arts
Carlos Fraenkel,Department of Jewish Studies,Faculty of Arts
Yael Halevi-Wise,Department of Jewish Studies,Faculty of Arts
Gershon D. Hundert,Department of Jewish Studies,Faculty of Arts
Emily Kopley,Department of Jewish Studies,Faculty of Arts
Rina Michaeli,Department of Jewish Studies,Faculty of Arts
Christopher Silver,Department of Jewish Studies,Faculty of Arts
Yuri Vedenyapin,Department of Jewish Studies,Faculty of Arts
Shlomo Zuckier,Department of Jewish Studies,Faculty of Arts
