Name,Department,Faculty
Karin Bauer,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Laura A Beraha,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Eugenio Bolongaro,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Alejandra Barriales Bouche,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Lucia Chamanadjian,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Cristiana Furlan,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Anny Guimont,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Tove Holmes,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Amanda Holmes,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Maria Ivanova,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Jose Jouve-Martin,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Zora Kadyrbekova,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Sun-Young Kim,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Fernanda Macchi,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Maria Teresa Mascaro,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Maria Morrison,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Lyudmila Parts,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Jesus Perez-Magallon,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Paul Peters,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Andrew Piper,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Stephanie Posthumus,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Daniel W. Pratt,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Cecily Raynor,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Daniel Schwartz,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Kathleen M Sibbald,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Matteo Soranzo,"Department of Languages, Literatures, and Cultures",Faculty of Arts
Anna Maria Tumino,"Department of Languages, Literatures, and Cultures",Faculty of Arts
