Name,Department,Faculty
Luis Alonso-Ovalle,Department of Linguistics,Faculty of Arts
Charles Boberg,Department of Linguistics,Faculty of Arts
Meghan Clayards,Department of Linguistics,Faculty of Arts
Jessica Coon,Department of Linguistics,Faculty of Arts
James A. Crippen,Department of Linguistics,Faculty of Arts
Brendan Gillon,Department of Linguistics,Faculty of Arts
Martina Martinović,Department of Linguistics,Faculty of Arts
Timothy O'Donnell,Department of Linguistics,Faculty of Arts
Siva Reddy,Department of Linguistics,Faculty of Arts
Bernhard Schwarz,Department of Linguistics,Faculty of Arts
Junko Shimoyama,Department of Linguistics,Faculty of Arts
Morgan Sonderegger,Department of Linguistics,Faculty of Arts
Franciso Torreira,Department of Linguistics,Faculty of Arts
Michael Wagner,Department of Linguistics,Faculty of Arts
