Name,Department,Faculty
Alia Al-Saji,Department of Philosophy,Faculty of Arts
Michael Blome-Tillmann,Department of Philosophy,Faculty of Arts
Philip Buckley,Department of Philosophy,Faculty of Arts
Emily Carson,Department of Philosophy,Faculty of Arts
David Davies,Department of Philosophy,Faculty of Arts
Marguerite Deslauriers,Department of Philosophy,Faculty of Arts
Gaëlle Fiasse,Department of Philosophy,Faculty of Arts
Carlos Fraenkel,Department of Philosophy,Faculty of Arts
Ian Jeffrey Gold,Department of Philosophy,Faculty of Arts
Michael Frank Hallett,Department of Philosophy,Faculty of Arts
Iwao Hirose,Department of Philosophy,Faculty of Arts
Chris Howard,Department of Philosophy,Faculty of Arts
Alison Laywine,Department of Philosophy,Faculty of Arts
Stephanie Leary,Department of Philosophy,Faculty of Arts
Eric Lewis,Department of Philosophy,Faculty of Arts
Jocelyn Maclure,Department of Philosophy,Faculty of Arts
Stephen Menn,Department of Philosophy,Faculty of Arts
Dirk Schlimm,Department of Philosophy,Faculty of Arts
Lisa Shapiro,Department of Philosophy,Faculty of Arts
Hasana Sharp,Department of Philosophy,Faculty of Arts
Natalie Stoljar,Department of Philosophy,Faculty of Arts
Eran Tal,Department of Philosophy,Faculty of Arts
Kristin Voigt,Department of Philosophy,Faculty of Arts
Daniel Weinstock,Department of Philosophy,Faculty of Arts
