Name,Department,Faculty
Arash Abizadeh,Department of Political Science,Faculty of Arts
Yann Allard-Tremblay,Department of Political Science,Faculty of Arts
Leonardo Baccini,Department of Political Science,Faculty of Arts
Manuel Balan,Department of Political Science,Faculty of Arts
Daniel Béland,Department of Political Science,Faculty of Arts
Éric Bélanger,Department of Political Science,Faculty of Arts
Elissa Berwick,Department of Political Science,Faculty of Arts
Megan Bradley,Department of Political Science,Faculty of Arts
Mark R Brawley,Department of Political Science,Faculty of Arts
Rex J. Brynen,Department of Political Science,Faculty of Arts
Daniel Douek,Department of Political Science,Faculty of Arts
Aaron Erlich,Department of Political Science,Faculty of Arts
Terri E. Givens,Department of Political Science,Faculty of Arts
Kelly Gordon,Department of Political Science,Faculty of Arts
Tania Islas Weinstein,Department of Political Science,Faculty of Arts
Juliet Johnson,Department of Political Science,Faculty of Arts
Erik Martinez Kuhonta,Department of Political Science,Faculty of Arts
Jacob Levy,Department of Political Science,Faculty of Arts
Catherine Lu,Department of Political Science,Faculty of Arts
Christopher P Manfredi,Department of Political Science,Faculty of Arts
Hudson Meadwell,Department of Political Science,Faculty of Arts
Khalid Medani,Department of Political Science,Faculty of Arts
Victor Muniz-Fraticelli,Department of Political Science,Faculty of Arts
Fernando G. Nuñez-Mietz,Department of Political Science,Faculty of Arts
T.V. Paul,Department of Political Science,Faculty of Arts
Krzysztof Pelc,Department of Political Science,Faculty of Arts
Maria Popova,Department of Political Science,Faculty of Arts
Vincent Pouliot,Department of Political Science,Faculty of Arts
William Clare Roberts,Department of Political Science,Faculty of Arts
Filippo Sabetti,Department of Political Science,Faculty of Arts
Christa Scholtz,Department of Political Science,Faculty of Arts
Dietlind Stolle,Department of Political Science,Faculty of Arts
Narendra Subramanian,Department of Political Science,Faculty of Arts
Brendan Szendro,Department of Political Science,Faculty of Arts
Debra Thompson,Department of Political Science,Faculty of Arts
Juan Wang,Department of Political Science,Faculty of Arts
Jennifer Welsh,Department of Political Science,Faculty of Arts
Yves Winter,Department of Political Science,Faculty of Arts
