Name,Department,Faculty
Sarah Brauner-Otto,Department of Sociology,Faculty of Arts
Jason Carmichael,Department of Sociology,Faculty of Arts
Shelley Clark,Department of Sociology,Faculty of Arts
Aniruddha Das,Department of Sociology,Faculty of Arts
Alexis Dennis,Department of Sociology,Faculty of Arts
Jan Doering,Department of Sociology,Faculty of Arts
Barry Eidlin,Department of Sociology,Faculty of Arts
Jennifer Elrick,Department of Sociology,Faculty of Arts
Matthew Lange,Department of Sociology,Faculty of Arts
Peter McMahan,Department of Sociology,Faculty of Arts
Amélie Quesnel-Vallée,Department of Sociology,Faculty of Arts
Poulami Roychowdhury,Department of Sociology,Faculty of Arts
Eran Shor,Department of Sociology,Faculty of Arts
Michael Smith,Department of Sociology,Faculty of Arts
Thomas Soehl,Department of Sociology,Faculty of Arts
Axel van den Berg,Department of Sociology,Faculty of Arts
Zoua Vang,Department of Sociology,Faculty of Arts
Elaine Weiner,Department of Sociology,Faculty of Arts
Morton Weinfeld,Department of Sociology,Faculty of Arts
