Name,Department,Faculty
Amanda Abrams,Desautels Faculty of Management,Faculty of Management
Nancy J Adler,Desautels Faculty of Management,Faculty of Management
Rania Afiouni,Desautels Faculty of Management,Faculty of Management
Borel Espoir Senan Ahonon,Desautels Faculty of Management,Faculty of Management
Alireza Alavi,Desautels Faculty of Management,Faculty of Management
Simon Altmejd,Desautels Faculty of Management,Faculty of Management
Kwangjun An,Desautels Faculty of Management,Faculty of Management
Anton Andersson,Desautels Faculty of Management,Faculty of Management
Daniel Andrei,Desautels Faculty of Management,Faculty of Management
Animesh Animesh,Desautels Faculty of Management,Faculty of Management
Doreen Arbel,Desautels Faculty of Management,Faculty of Management
Aviva Aronovitch,Desautels Faculty of Management,Faculty of Management
Rami Aslan,Desautels Faculty of Management,Faculty of Management
Brian Athaide,Desautels Faculty of Management,Faculty of Management
George S Attar,Desautels Faculty of Management,Faculty of Management
Philippe Audi,Desautels Faculty of Management,Faculty of Management
Guy Auger,Desautels Faculty of Management,Faculty of Management
Patrick Augustin,Desautels Faculty of Management,Faculty of Management
Valerii Baidin,Desautels Faculty of Management,Faculty of Management
Nymisha Bandi,Desautels Faculty of Management,Faculty of Management
Alex Banh,Desautels Faculty of Management,Faculty of Management
John Bargelletti,Desautels Faculty of Management,Faculty of Management
Paul D. Barnett,Desautels Faculty of Management,Faculty of Management
Genevieve Bassellier,Desautels Faculty of Management,Faculty of Management
Paul Beaumont,Desautels Faculty of Management,Faculty of Management
Pouya Behmaram,Desautels Faculty of Management,Faculty of Management
Recep Yusuf Bekci,Desautels Faculty of Management,Faculty of Management
Fares Belkhiria,Desautels Faculty of Management,Faculty of Management
Alain M. Bellemare,Desautels Faculty of Management,Faculty of Management
Aldo Bensadoun,Desautels Faculty of Management,Faculty of Management
Sebastien Betermier,Desautels Faculty of Management,Faculty of Management
Anand Bhardwaj,Desautels Faculty of Management,Faculty of Management
Niels Billou,Desautels Faculty of Management,Faculty of Management
Francine Blackburn,Desautels Faculty of Management,Faculty of Management
Stéphane Boisvert,Desautels Faculty of Management,Faculty of Management
Maryam BourghaniFarahani,Desautels Faculty of Management,Faculty of Management
Leslie Breitner,Desautels Faculty of Management,Faculty of Management
Reuven Brenner,Desautels Faculty of Management,Faculty of Management
Ken Brooks,Desautels Faculty of Management,Faculty of Management
Anna-Maria Broomes,Desautels Faculty of Management,Faculty of Management
Derek Brown,Desautels Faculty of Management,Faculty of Management
Adrian Brown,Desautels Faculty of Management,Faculty of Management
Sean Brown,Desautels Faculty of Management,Faculty of Management
Daniel Bunyan,Desautels Faculty of Management,Faculty of Management
Frédérique Carrier,Desautels Faculty of Management,Faculty of Management
Francesca Carrieri,Desautels Faculty of Management,Faculty of Management
Ralph Cecere,Desautels Faculty of Management,Faculty of Management
Tullio Cedraschi,Desautels Faculty of Management,Faculty of Management
Bertrand Cesvet,Desautels Faculty of Management,Faculty of Management
Yolande E. Chan,Desautels Faculty of Management,Faculty of Management
Mo Chaudhury,Desautels Faculty of Management,Faculty of Management
Aaron Cheung,Desautels Faculty of Management,Faculty of Management
Sinhyeong Cho,Desautels Faculty of Management,Faculty of Management
Jason Chrein,Desautels Faculty of Management,Faculty of Management
 Franca Ciambella,Desautels Faculty of Management,Faculty of Management
John E. Cleghorn,Desautels Faculty of Management,Faculty of Management
Benny Cohen,Desautels Faculty of Management,Faculty of Management
Maxime Cohen,Desautels Faculty of Management,Faculty of Management
Lisa Cohen,Desautels Faculty of Management,Faculty of Management
Diana Colella,Desautels Faculty of Management,Faculty of Management
Linxiao Francis Cong,Desautels Faculty of Management,Faculty of Management
Neil Constable,Desautels Faculty of Management,Faculty of Management
Matthew Cote,Desautels Faculty of Management,Faculty of Management
Jean-François Courville,Desautels Faculty of Management,Faculty of Management
Benjamin Croitoru,Desautels Faculty of Management,Faculty of Management
Diana Dakhlallah,Desautels Faculty of Management,Faculty of Management
Géraud Dambrine,Desautels Faculty of Management,Faculty of Management
Robert J. David,Desautels Faculty of Management,Faculty of Management
Stephen De Four-Wyre,Desautels Faculty of Management,Faculty of Management
Adolfo de Motta,Desautels Faculty of Management,Faculty of Management
Christine Decarie,Desautels Faculty of Management,Faculty of Management
Mary Dellar,Desautels Faculty of Management,Faculty of Management
Daphne Demetry,Desautels Faculty of Management,Faculty of Management
Marcel Desautels,Desautels Faculty of Management,Faculty of Management
André Desautels,Desautels Faculty of Management,Faculty of Management
Paul Desmarais,Desautels Faculty of Management,Faculty of Management
Vadim di Pietro,Desautels Faculty of Management,Faculty of Management
Yichuan (Daniel) Ding,Desautels Faculty of Management,Faculty of Management
Bruce Doré,Desautels Faculty of Management,Faculty of Management
Nick Drager,Desautels Faculty of Management,Faculty of Management
Daniel Dreyfus,Desautels Faculty of Management,Faculty of Management
Donald H. Drury,Desautels Faculty of Management,Faculty of Management
Janet Drysdale,Desautels Faculty of Management,Faculty of Management
Ken Duan,Desautels Faculty of Management,Faculty of Management
Laurette Dubé,Desautels Faculty of Management,Faculty of Management
Jacob Miles Dubé,Desautels Faculty of Management,Faculty of Management
Sumeet Duggal,Desautels Faculty of Management,Faculty of Management
Daniel Dupont,Desautels Faculty of Management,Faculty of Management
Fan E,Desautels Faculty of Management,Faculty of Management
Jan Ericsson,Desautels Faculty of Management,Faculty of Management
Vihang R Errunza,Desautels Faculty of Management,Faculty of Management
Hamid Etemad,Desautels Faculty of Management,Faculty of Management
Dror Etzion,Desautels Faculty of Management,Faculty of Management
Tanya Ezekiel,Desautels Faculty of Management,Faculty of Management
Arman Falahati,Desautels Faculty of Management,Faculty of Management
Samer Faraj,Desautels Faculty of Management,Faculty of Management
Daniel Farb,Desautels Faculty of Management,Faculty of Management
Julien Farre,Desautels Faculty of Management,Faculty of Management
Jonathan Fast,Desautels Faculty of Management,Faculty of Management
Gérald Faustino,Desautels Faculty of Management,Faculty of Management
John-Paul Ferguson,Desautels Faculty of Management,Faculty of Management
Tommaso Ferretti,Desautels Faculty of Management,Faculty of Management
Robert Fetherstonhaugh,Desautels Faculty of Management,Faculty of Management
Brian Fetherstonhaugh,Desautels Faculty of Management,Faculty of Management
Gabriel Frieden,Desautels Faculty of Management,Faculty of Management
David Fry,Desautels Faculty of Management,Faculty of Management
Roman V. Galperin,Desautels Faculty of Management,Faculty of Management
Daniel R. Galvao,Desautels Faculty of Management,Faculty of Management
Tatiana Gauvin,Desautels Faculty of Management,Faculty of Management
Anisha Ghosh,Desautels Faculty of Management,Faculty of Management
Louis Gialloreto,Desautels Faculty of Management,Faculty of Management
France Gingras-Gour,Desautels Faculty of Management,Faculty of Management
Jean-Louis Goffin,Desautels Faculty of Management,Faculty of Management
Anil Gondi,Desautels Faculty of Management,Faculty of Management
Jonathan Goodman,Desautels Faculty of Management,Faculty of Management
Matthew Goodman,Desautels Faculty of Management,Faculty of Management
Sanjith Gopalakrishnan,Desautels Faculty of Management,Faculty of Management
Sai Soundarya Gorthi,Desautels Faculty of Management,Faculty of Management
Alyson Gounden Rock,Desautels Faculty of Management,Faculty of Management
Ruslan Goyenko,Desautels Faculty of Management,Faculty of Management
Margaret Graham,Desautels Faculty of Management,Faculty of Management
James Green,Desautels Faculty of Management,Faculty of Management
Jerome Guidollet,Desautels Faculty of Management,Faculty of Management
Mehmet Gumus,Desautels Faculty of Management,Faculty of Management
Nader Hamid,Desautels Faculty of Management,Faculty of Management
Larbi Hammami,Desautels Faculty of Management,Faculty of Management
John Han,Desautels Faculty of Management,Faculty of Management
Kunsoo Han,Desautels Faculty of Management,Faculty of Management
Elizabeth Han,Desautels Faculty of Management,Faculty of Management
DaHee Han,Desautels Faculty of Management,Faculty of Management
Michael Handelsman,Desautels Faculty of Management,Faculty of Management
Mark A. Hantho,Desautels Faculty of Management,Faculty of Management
Rim Hariss,Desautels Faculty of Management,Faculty of Management
Stephen Harper,Desautels Faculty of Management,Faculty of Management
Ernan Haruvy,Desautels Faculty of Management,Faculty of Management
Taha Havakhor,Desautels Faculty of Management,Faculty of Management
Robert Paul Hebdon,Desautels Faculty of Management,Faculty of Management
Ali Hedayat,Desautels Faculty of Management,Faculty of Management
Hossein Hejazian,Desautels Faculty of Management,Faculty of Management
Patricia Faison Hewlin,Desautels Faculty of Management,Faculty of Management
Matissa Hollister,Desautels Faculty of Management,Faculty of Management
Lindsay Holmgren,Desautels Faculty of Management,Faculty of Management
Robert Horn,Desautels Faculty of Management,Faculty of Management
Shoeb Hosain,Desautels Faculty of Management,Faculty of Management
Insung Hwang,Desautels Faculty of Management,Faculty of Management
Salvatore Iacono,Desautels Faculty of Management,Faculty of Management
Matthew Ingrassia,Desautels Faculty of Management,Faculty of Management
Inez Jabalpurwala,Desautels Faculty of Management,Faculty of Management
Alfred Jaeger,Desautels Faculty of Management,Faculty of Management
Rakesh Jain,Desautels Faculty of Management,Faculty of Management
Zahra Jalali,Desautels Faculty of Management,Faculty of Management
Wei Yu Jiang,Desautels Faculty of Management,Faculty of Management
Myung-Soo Jo,Desautels Faculty of Management,Faculty of Management
Evan Jo,Desautels Faculty of Management,Faculty of Management
Jan J Jorgensen,Desautels Faculty of Management,Faculty of Management
Preetika Joshi,Desautels Faculty of Management,Faculty of Management
Roy Kabla,Desautels Faculty of Management,Faculty of Management
Masoomeh Kalantari,Desautels Faculty of Management,Faculty of Management
Harvinder Kalirai,Desautels Faculty of Management,Faculty of Management
Rabindra Kanungo,Desautels Faculty of Management,Faculty of Management
Lotfi Karoui,Desautels Faculty of Management,Faculty of Management
Stephen Kay,Desautels Faculty of Management,Faculty of Management
Miranda Keating Erickson,Desautels Faculty of Management,Faculty of Management
Warut Khern-am-nuai,Desautels Faculty of Management,Faculty of Management
Anna Kim,Desautels Faculty of Management,Faculty of Management
David Klug,Desautels Faculty of Management,Faculty of Management
Jiro Kondo,Desautels Faculty of Management,Faculty of Management
Steven Kramer,Desautels Faculty of Management,Faculty of Management
Chandra Kumar,Desautels Faculty of Management,Faculty of Management
Benoit Lacoste Bienvenue,Desautels Faculty of Management,Faculty of Management
Martin Laguerre,Desautels Faculty of Management,Faculty of Management
David Laidley,Desautels Faculty of Management,Faculty of Management
Marie Josee Lamothe,Desautels Faculty of Management,Faculty of Management
Gaëlle Lamotte,Desautels Faculty of Management,Faculty of Management
David Morris Lank,Desautels Faculty of Management,Faculty of Management
Guillaume Lapierre-Berger,Desautels Faculty of Management,Faculty of Management
Liette Lapointe,Desautels Faculty of Management,Faculty of Management
Assia Lasfer,Desautels Faculty of Management,Faculty of Management
Ève Laurier,Desautels Faculty of Management,Faculty of Management
Anthony S Layton,Desautels Faculty of Management,Faculty of Management
Hani Lazkani,Desautels Faculty of Management,Faculty of Management
June Soo Lee,Desautels Faculty of Management,Faculty of Management
Yoo Jin Lee,Desautels Faculty of Management,Faculty of Management
Jared Lee,Desautels Faculty of Management,Faculty of Management
Yonghwan Lee,Desautels Faculty of Management,Faculty of Management
Dongyoung Lee,Desautels Faculty of Management,Faculty of Management
Mary Dean Lee,Desautels Faculty of Management,Faculty of Management
Maxime Lemieux,Desautels Faculty of Management,Faculty of Management
Paolo V. Leone,Desautels Faculty of Management,Faculty of Management
Kenneth Lester,Desautels Faculty of Management,Faculty of Management
David Levenson,Desautels Faculty of Management,Faculty of Management
Philippe Levy,Desautels Faculty of Management,Faculty of Management
Jay Lewis,Desautels Faculty of Management,Faculty of Management
Donald W. Lewtas,Desautels Faculty of Management,Faculty of Management
Wanyu Faith Li,Desautels Faculty of Management,Faculty of Management
Shanling Li,Desautels Faculty of Management,Faculty of Management
Tiange Li,Desautels Faculty of Management,Faculty of Management
Elliot Lifson,Desautels Faculty of Management,Faculty of Management
Zichun Liu,Desautels Faculty of Management,Faculty of Management
Robert D. Long,Desautels Faculty of Management,Faculty of Management
Richard Loulou,Desautels Faculty of Management,Faculty of Management
Lucie Yiliu Lu,Desautels Faculty of Management,Faculty of Management
Guang Ma,Desautels Faculty of Management,Faculty of Management
Nan Ma,Desautels Faculty of Management,Faculty of Management
Priscilla Ma,Desautels Faculty of Management,Faculty of Management
Yu Ma,Desautels Faculty of Management,Faculty of Management
Marc Macdonald,Desautels Faculty of Management,Faculty of Management
Hugh Macdonnell,Desautels Faculty of Management,Faculty of Management
David MacMillan,Desautels Faculty of Management,Faculty of Management
Sujata Madan,Desautels Faculty of Management,Faculty of Management
Sara Mahabadi,Desautels Faculty of Management,Faculty of Management
Saku Mantere,Desautels Faculty of Management,Faculty of Management
Melissa Marginson,Desautels Faculty of Management,Faculty of Management
Nadia Marley,Desautels Faculty of Management,Faculty of Management
Anthony C. Masi,Desautels Faculty of Management,Faculty of Management
Jean-Sebastien Matte,Desautels Faculty of Management,Faculty of Management
David McAusland,Desautels Faculty of Management,Faculty of Management
Scott McDonald,Desautels Faculty of Management,Faculty of Management
James B McMullan,Desautels Faculty of Management,Faculty of Management
Cameron McRae,Desautels Faculty of Management,Faculty of Management
Don Melville,Desautels Faculty of Management,Faculty of Management
Sentao Miao,Desautels Faculty of Management,Faculty of Management
Isla Milne,Desautels Faculty of Management,Faculty of Management
Tomas Milo,Desautels Faculty of Management,Faculty of Management
