Name,Department,Faculty
Armando Bertone,Department of Educational & Counselling Psychology,Faculty of Education
Alain Breuleux,Department of Educational & Counselling Psychology,Faculty of Education
Jacob Burack,Department of Educational & Counselling Psychology,Faculty of Education
Jeffrey Derevensky,Department of Educational & Counselling Psychology,Faculty of Education
Martin Drapeau,Department of Educational & Counselling Psychology,Faculty of Education
Adam Dubé,Department of Educational & Counselling Psychology,Faculty of Education
Tara Flanagan,Department of Educational & Counselling Psychology,Faculty of Education
Karen Gazith,Department of Educational & Counselling Psychology,Faculty of Education
Marie-Claude Geoffroy,Department of Educational & Counselling Psychology,Faculty of Education
Nathan Hall,Department of Educational & Counselling Psychology,Faculty of Education
Nancy Heath,Department of Educational & Counselling Psychology,Faculty of Education
Michael Hoover,Department of Educational & Counselling Psychology,Faculty of Education
Bassam Khoury,Department of Educational & Counselling Psychology,Faculty of Education
Chiaki Konishi,Department of Educational & Counselling Psychology,Faculty of Education
Annett Körner,Department of Educational & Counselling Psychology,Faculty of Education
Susanne Lajoie,Department of Educational & Counselling Psychology,Faculty of Education
Rachel Langevin,Department of Educational & Counselling Psychology,Faculty of Education
Gigi Luk,Department of Educational & Counselling Psychology,Faculty of Education
Tina Montreuil,Department of Educational & Counselling Psychology,Faculty of Education
Krista Muis,Department of Educational & Counselling Psychology,Faculty of Education
Judith Norton,Department of Educational & Counselling Psychology,Faculty of Education
Marie-Hélène Pennestri,Department of Educational & Counselling Psychology,Faculty of Education
Eve-Marie Quintin,Department of Educational & Counselling Psychology,Faculty of Education
Kristy Robinson,Department of Educational & Counselling Psychology,Faculty of Education
Jessica Ruglis,Department of Educational & Counselling Psychology,Faculty of Education
Steven Shaw,Department of Educational & Counselling Psychology,Faculty of Education
Ada Sinacore,Department of Educational & Counselling Psychology,Faculty of Education
Ingrid Sladeczek,Department of Educational & Counselling Psychology,Faculty of Education
Ronald Stringer,Department of Educational & Counselling Psychology,Faculty of Education
Victoria Talwar,Department of Educational & Counselling Psychology,Faculty of Education
Caroline Temcheff,Department of Educational & Counselling Psychology,Faculty of Education
Dennis Wendt,Department of Educational & Counselling Psychology,Faculty of Education
Shanna Williams,Department of Educational & Counselling Psychology,Faculty of Education
Laura Winer,Department of Educational & Counselling Psychology,Faculty of Education
Dr. Ross Andersen,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Gordon Bloom,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Tyler Churchward-Venne,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Julie Côté,Department of Kinesiology and Physical Education,Faculty of Education
Mr. Michael Creamer,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Lindsay Duncan,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Benoit Gentil,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Jenna Gibbs,Department of Kinesiology and Physical Education,Faculty of Education
Dr. William James Harvey,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Dennis Jensen,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Jordan Koch,Department of Kinesiology and Physical Education,Faculty of Education
Mrs. Jessica Mocella,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Caroline Paquette,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Dilson Rassier,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Celena Scheede-Bergdahl,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Shane Sweet,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Charlotte Usselman,Department of Kinesiology and Physical Education,Faculty of Education
Anila Asghar,Department of Integrated Studies in Education,Faculty of Education
Susan Ballinger,Department of Integrated Studies in Education,Faculty of Education
Lynn Butler-Kisber,Department of Integrated Studies in Education,Faculty of Education
Eric Caplan,Department of Integrated Studies in Education,Faculty of Education
Mindy Carter,Department of Integrated Studies in Education,Faculty of Education
Hennah Chestnutt,Department of Integrated Studies in Education,Faculty of Education
Steven Colpitts,Department of Integrated Studies in Education,Faculty of Education
Christian Ehret,Department of Integrated Studies in Education,Faculty of Education
Angelica Galante,Department of Integrated Studies in Education,Faculty of Education
Ratna Ghosh,Department of Integrated Studies in Education,Faculty of Education
Allison Gonsalves,Department of Integrated Studies in Education,Faculty of Education
Blane Harvey,Department of Integrated Studies in Education,Faculty of Education
Philip Howard,Department of Integrated Studies in Education,Faculty of Education
Jim Howden,Department of Integrated Studies in Education,Faculty of Education
Limin Jao,Department of Integrated Studies in Education,Faculty of Education
Steven Jordan,Department of Integrated Studies in Education,Faculty of Education
Amir Kalan,Department of Integrated Studies in Education,Faculty of Education
Marta Kobiela,Department of Integrated Studies in Education,Faculty of Education
Joseph Levitan,Department of Integrated Studies in Education,Faculty of Education
Bronwen Low,Department of Integrated Studies in Education,Faculty of Education
Roy Lyster,Department of Integrated Studies in Education,Faculty of Education
Kevin McDonough,Department of Integrated Studies in Education,Faculty of Education
Janine Metallic,Department of Integrated Studies in Education,Faculty of Education
Claudia Mitchell,Department of Integrated Studies in Education,Faculty of Education
R.Nanre Nafziger,Department of Integrated Studies in Education,Faculty of Education
Elizabeth Patitsas,Department of Integrated Studies in Education,Faculty of Education
Stephen Peters,Department of Integrated Studies in Education,Faculty of Education
Caroline Riches,Department of Integrated Studies in Education,Faculty of Education
Mela Sarkar,Department of Integrated Studies in Education,Faculty of Education
Annie Savard,Department of Integrated Studies in Education,Faculty of Education
Shaheen Shariff,Department of Integrated Studies in Education,Faculty of Education
Sheryl Smith-Gilman,Department of Integrated Studies in Education,Faculty of Education
Prachi Srivastava,Department of Integrated Studies in Education,Faculty of Education
Lisa Starr,Department of Integrated Studies in Education,Faculty of Education
Teresa Strong-Wilson,Department of Integrated Studies in Education,Faculty of Education
Emmanuel Tabi,Department of Integrated Studies in Education,Faculty of Education
Boyd White,Department of Integrated Studies in Education,Faculty of Education
Elizabeth Wood,Department of Integrated Studies in Education,Faculty of Education
Paul Zanazanian,Department of Integrated Studies in Education,Faculty of Education
