Name,Department,Faculty
Dr. Ross Andersen,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Gordon Bloom,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Tyler Churchward-Venne,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Julie Côté,Department of Kinesiology and Physical Education,Faculty of Education
Mr. Michael Creamer,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Lindsay Duncan,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Benoit Gentil,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Jenna Gibbs,Department of Kinesiology and Physical Education,Faculty of Education
Dr. William James Harvey,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Dennis Jensen,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Jordan Koch,Department of Kinesiology and Physical Education,Faculty of Education
Mrs. Jessica Mocella,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Caroline Paquette,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Dilson Rassier,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Celena Scheede-Bergdahl,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Shane Sweet,Department of Kinesiology and Physical Education,Faculty of Education
Dr. Charlotte Usselman,Department of Kinesiology and Physical Education,Faculty of Education
